Date,Open,High,Low,Close,Adj Close,Volume
2019-02-08,1094.880005,1105.099976,1094.239990,1102.380005,1102.380005,1088300
2019-02-11,1103.750000,1113.430054,1100.000000,1102.119995,1102.119995,924900
2019-02-12,1111.010010,1132.859985,1111.010010,1127.579956,1127.579956,1751800
2019-02-13,1133.040039,1142.849976,1126.000000,1128.630005,1128.630005,1402100
2019-02-14,1125.000000,1136.130005,1117.089966,1129.199951,1129.199951,1055300
2019-02-15,1139.300049,1139.300049,1116.719971,1119.630005,1119.630005,1391300
2019-02-19,1116.640015,1129.640015,1116.640015,1126.510010,1126.510010,1099000
2019-02-20,1128.880005,1130.930054,1111.750000,1120.589966,1120.589966,1204500
2019-02-21,1118.780029,1119.150024,1097.979980,1104.209961,1104.209961,1663600
2019-02-22,1109.699951,1117.250000,1100.500000,1116.560059,1116.560059,1471800
2019-02-25,1121.930054,1125.400024,1114.109985,1117.329956,1117.329956,1310400
2019-02-26,1114.369995,1126.439941,1106.699951,1122.010010,1122.010010,1751300
2019-02-27,1114.010010,1125.729980,1108.560059,1122.890015,1122.890015,1104600
2019-02-28,1119.000000,1133.989990,1118.410034,1126.550049,1126.550049,1371100
2019-03-01,1131.000000,1150.000000,1131.000000,1148.520020,1148.520020,1704300
2019-03-04,1154.560059,1165.520020,1138.250000,1153.420044,1153.420044,1774500
2019-03-05,1156.000000,1176.489990,1153.020020,1169.189941,1169.189941,2004700
2019-03-06,1171.760010,1174.739990,1163.050049,1164.939941,1164.939941,1180100
2019-03-07,1160.500000,1163.579956,1141.709961,1150.849976,1150.849976,1504300
2019-03-08,1133.900024,1153.449951,1130.199951,1149.969971,1149.969971,1184700
2019-03-11,1152.000000,1179.910034,1151.569946,1179.260010,1179.260010,1501600
2019-03-12,1182.300049,1205.709961,1182.300049,1197.250000,1197.250000,2111000
2019-03-13,1205.930054,1207.119995,1197.910034,1199.060059,1199.060059,1294400
2019-03-14,1199.020020,1204.699951,1191.229980,1192.530029,1192.530029,1365100
2019-03-15,1198.000000,1201.719971,1187.010010,1190.300049,1190.300049,2594300
2019-03-18,1189.689941,1194.949951,1181.479980,1188.550049,1188.550049,1222100
2019-03-19,1191.719971,1203.410034,1189.459961,1202.459961,1202.459961,1489400
2019-03-20,1201.400024,1229.989990,1199.589966,1226.430054,1226.430054,2075400
2019-03-21,1220.000000,1236.439941,1216.579956,1236.130005,1236.130005,1407500
2019-03-22,1228.849976,1233.630005,1206.000000,1207.650024,1207.650024,1721100
